Parent,Section,Section Title,Section Body Text,Section Start Page,Section End Page
3.1.1,3.1.1.1,,"(a) the permitted floor space ratio to a maximum of 1.00 for multiple dwelling containing no more than 8
dwelling units where all of the dwelling units are secured as residential rental tenure, except that 1
dwelling unit may be occupied by a registered owner of the site;
(b) the permitted floor space ratio to a maximum of 1.00 for multiple dwelling containing no more than
6 dwelling units where at least 1 dwelling unit is developed as a below-market homeownership
unit, if a partnering agreement between the City and the BC Housing Management Commission
that establishes terms and conditions related to a below-market homeownership program has been
entered into and is in effect; or
(c) the permitted floor area by 1 m
2 per amenity share or per affordable housing share provided to the
City at no cost to the City, to a maximum floor space ratio of 1.00 for multiple dwelling containing no
more than 6 dwelling units,
if the Director of Planning considers the intent of this schedule and all applicable Council policies and
guidelines.",7,7
3.1.1,3.1.1.2,,"(a) at least 2 bedrooms; and
(b) a floor area of not less than 90 m
2,
that is subject to a registered agreement with the BC Housing Management Commission with terms that
ensure the dwelling unit will be sold at an initial price of a minimum of 50% below fair market value to
purchasers that meet income and other eligibility criteria as specified by the BC Housing Management
Commission in consultation with the Director of Planning, and that is in compliance with a partnering
agreement between the City and the BC Housing Management Commission.",7,7
3.1.1,3.1.1.3,,"amenity shares or affordable housing shares must otherwise comply in all respects with this schedule and
this by-law.",7,8
3.1,3.1.2,Building Form and Placement,Regulations,8,8
3.1.2,3.1.2.1,,"more dwelling units:
(a) minimum site area 557 m²
(b) minimum site frontage 15.1 m",8,8
3.1.2,3.1.2.2,,"dwelling units:
(a) minimum site area 464 m²
(b) minimum site frontage 13.4 m",8,8
3.1.2,3.1.2.3,,"dwelling units:
(a) minimum site area 306 m²
(b) minimum site frontage 10.0 m
(c) maximum site area for multiple dwelling containing 3 dwelling
units
463 m²
(d) maximum site frontage for multiple dwelling containing 3
dwelling units
13.3 m",8,8
3.1.2,3.1.2.4,,"(a) buildings in a courtyard configuration 33.5 m
(b) all other buildings 30.4 m",8,8
3.1.2,3.1.2.5,,"(a) rear buildings 8.5 m and 2 storeys
(b) all other buildings 11.5 m and 3 storeys",8,8
3.1.2,3.1.2.6,,,8,8
3.1.2,3.1.2.7,,,8,8
3.1.2,3.1.2.8,,"(a) buildings in a courtyard configuration 0.9 m
Regulations
(b) all other buildings 10.7 m",8,9
3.1.2,3.1.2.9,,,9,9
3.1.2,3.1.2.10,,,9,9
3.1.2,3.1.2.11,,"(a) buildings located on a site frontage 2.4 m
(b) rear buildings 2.4 m
(c) buildings located on a site frontage and rear buildings 6.1 m
Building Depth",9,9
3.1.2,3.1.2.12,,"increase the maximum building depth if the
Director of Planning first considers the intent of
this schedule and all applicable Council policies
and guidelines.
Building Separation",9,9
3.1.2,3.1.2.13,,"be measured from the closest portion of the
exterior walls of any other building on the
site.Building
height
Street Lane
Separation
between
buildings
Principal
building -
rear building
Building
height
Property line Principal
building Diagram: Multiple dwelling – courtyard
configuration
Lane
FSR
SMinimum rear
yard depth
Minimum front
yard depth
Minimum side
yard width
Separation
between buildings C
Site depth
Principal
building
Principal building
- rear building
S Side yard
F Front yard
C Courtyard
R Rear yard
Property line
Permitted development area
Site frontage
Street
Diagram: Building placement for multiple dwelling
in a courtyard configuration
Street
Lane
FSR
SMinimum rear
yard depth
Minimum front
yard depth
Minimum side
yard width
Principal
building
Building
depth
Property line R Rear yard
Permitted development area
F Front yard
S Side yard
Site depth
Site frontage
Diagram: Building placement for multiple dwelling
on a smaller site frontage
Street
Lane
FSR
C
F Front yard
Property line
C Courtyard
R Rear yard
S Side yard
Principal
building
Principal building
- rear building Separation
between
buildings
located on
a site
frontage
and rear
buildings
SSeparation
between rear
buildings
Separation
between
buildings
located on a
site frontage Building
width
Principal
building
Principal building
- rear building Diagram: Separation between buildings and
building width for multiple dwelling in a courtyard
configuration on a wider site frontage",9,11
3,3.2,Other Uses,All other uses not regulated by section 3.1 of this schedule are subject to the following regulations.,11,11
3.2,3.2.1,Density and Floor Area,,11,11
3.2.1,3.2.1.1,,maximum floor space ratio is 0.70.,11,11
3.2.1,3.2.1.2,,"maximum of:
(a) 0.65 for single detached house and single detached house with secondary suite to facilitate an
addition to a character house;
(b) 0.75 for multiple conversion dwelling to facilitate an addition to a character house; or
(c) 0.85 for infill in combination with the retention of a character house,
if the Director of Planning considers the intent of this schedule and all applicable Council policies and
guidelines.",11,11
3.2,3.2.2,Building Form and Placement,Regulations,11,11
3.2.2,3.2.2.1,,"detached house, and single detached house with secondary suite 306 m²",11,11
3.2.2,3.2.2.2,,"single detached house, and single detached house with secondary
suite
7.3 m",11,11
3.2.2,3.2.2.3,,,11,11
3.2.2,3.2.2.4,,,11,11
3.2.2,3.2.2.5,,,11,11
3.2.2,3.2.2.6,,,11,11
3.2.2,3.2.2.7,,,11,11
3.2.2,3.2.2.8,,Site Area and Site Frontage,11,12
3.2.2,3.2.2.9,,"minimum site area and minimum site frontage
for a building containing a dwelling use if the
Director of Planning is satisfied with the
liveability of the dwelling units.
Building Height",12,12
3.2.2,3.2.2.10,,"section 3.2.2.3 above, the third storey must
be a partial storey not exceeding 50% of the
storey immediately below.
Side Yard",12,12
3.2.2,3.2.2.11,,"the Director of Planning may reduce the
minimum side yard width to 1.0 m.",12,12
3.2.2,3.2.2.12,,"minimum side yard width will be reduced to
permit the construction of a single detached
house on an existing lot that was on record
in the Land Title Office as of June 24, 2014,
if the use was previously approved under
issued development or building permits.
Site Coverage and Impermeability",12,12
3.2.2,3.2.2.13,,"parking area, the maximum site coverage for
any portion of the site used as a parking area
is 30%.",12,12
3.2.2,3.2.2.14,,"maximum area of impermeable materials for
non-dwelling uses if:
(a) there is a demonstrated need for
increased paved or otherwise
impermeable surface area to the
satisfaction of the Director of Planning;
and
Building height
Maximum building height Property line Diagram: Building height
Site coverage= Property line R Rear yard
Permitted development area F Front yard S Side yard
Site frontage
Lane
FSR
SMinimum rear
yard depth
Minimum front
yard depth
Minimum side
yard width
Principal
building
Street
Diagram: Building placement for principal
building
(b) the Director of Planning considers the
intent of this schedule and all applicable
Council policies and guidelines.",12,14
,4,GENERAL REGULATIONS,All uses in this district are subject to the following regulations.,14,14
4,4.1,Amenity Shares and Affordable Housing Shares,,14,14
4.1,4.1.1,,Share and Amenity Share Cost Schedule of this by-law.,14,14
4.1,4.1.2,,"specified per m
2 in Schedule F: Affordable Housing and Amenity Share Cost Schedule of this by-law
for the zoning district.",14,14
4,4.2,Computation of Floor Area,,14,14
4.2,4.2.1,,"(a) all floors, including earthen floor, measured to the extreme outer limits of the building including
accessory buildings;
(b) stairways, fire escapes, elevator shafts, and other features that the Director of Planning considers
similar to the foregoing, measured by their gross cross-sectional areas and included in the
measurements for each floor at which they are located; and
(c) where the distance from a floor to the floor above, or where there is no floor above, to the top of the
roof joists, exceeds 3.7 m, an amount equal to the area of the floor below the excess height.",14,14
4.2,4.2.2,,"(a) the floor area of a laneway house;
(b) for multiple dwelling , where floors are used for off-street parking or bicycle storage, those floors or
portions thereof that are contained within an accessory building or a rear building, provided that:
(i) each parking space is open on at least 2 sides and does not exceed 7. 3 m in length, and
(ii) bicycle storage to a maximum of 24 m
2;
(c) for all other uses, where floors are used for off-street parking, loading and bicycle storage, those
floors or portions thereof up to a maximum of 48 m
2, that are located in:
(i) an accessory building or a rear building,
(ii) a principal building where a site has no developed secondary access, or
(iii) a principal building on a corner site where the rear property line of a site adjoins, without the
intervention of a lane, the side yard of a site in an R district,
provided that each parking space does not exceed 7. 3 m in length;
(d) for multiple dwelling , floors or portions thereof that are used for heating and mechanical equipment, or
uses that the Director of Planning considers similar to the foregoing, up to a maximum of 3.7 m
2 per
dwelling unit;
(e) patios and roof decks, if the Director of Planning considers the impact on privacy and overlook;
(f) balconies and decks, and any other appurtenances that the Director of Planning considers similar to
the foregoing, provided that the total area of these exclusions does not exceed:
(i) 12% of the permitted floor area for multiple dwelling , and
(ii) 8% of the permitted floor area for all other uses;
(g) entries, porches and verandahs, and covered porches above the first storey , if:
(i) they are open or protected by guards that do not exceed the required minimum height,
(ii) the total area of these exclusions, when combined with the balcony and deck exclusions under
section 4.2.2(f) above, does not exceed:
(A) 16% of the permitted floor area for multiple dwelling , or
(B) 13% of the permitted floor area for all other uses,
(iii) the depth of the total area being excluded for covered porches above the first storey does not
exceed 1.8 m, and
(iv) the ceiling height, excluding roof structure, of the total area being excluded does not exceed
3.1 m measured from the entry, porch or verandah floor;
(h) unconditioned floor areas with a ceiling height or height to the underside of joists of less than 2.0 m,
located below the floors of entries, porches and verandahs complying with section 4.2.2(g) above, to
which there is no access from the interior of the building;
(i) areas of floors existing, proposed or as may be extended over open-to-below space located directly
below sloping roof rafters or a sloping ceiling where the ceiling is directly attached to the underside
of sloping roof rafters, and where the roof joists have a minimum 7:12 pitch and the related ceiling
maintains the same pitch as the roof joists, if:
(i) the distance from the floor to any part of the roof rafters or ceiling is no higher than 2. 3 m and no
lower than 1.2 m, both measured vertically, and
(ii) the excluded floor area does not exceed 10% of the permitted total floor area,
and despite the definition of “partial storey” in Section 2 of this by-law , for the purposes of this
schedule the maximum permitted floor area contained in a partial storey must not include floor area
excluded in this section 4.2.2(i) ;
(j) areas of undeveloped floors that are located:
(i) above the highest storey or partial storey, and to which there is no permanent means of access
other than a hatch, or
(ii) adjacent to a storey or partial storey with a ceiling height of less than 1.2 m;
(k) floors located at or below finished grade with a ceiling height of less than 1.2 m;
(l) despite section 4.2.1(b) above, for multiple dwelling , where a dwelling unit is located above another
dwelling unit in a multiple dwelling , an area of 7.5 m
2 per dwelling unit for an internal stairway that
provides access to the upper dwelling unit and the area located immediately below the internal
stairway; and
(m) child day care facilities to a maximum floor area of 10% of the permitted floor area, if the Director of
Planning is satisfied that there is a need for a child day care facility in the immediate neighbourhood.",14,16
4,4.3,Measurements,,16,16
4.3,4.3.1,,"be deemed to be the southerly boundary of any required rear yard on lands described in “Plan A” of Part III
of Schedule E to this by-law, despite any dimension contained herein.",16,16
4.3,4.3.2,,,16,16
4.3,4.3.3,,"front exterior wall to the rear exterior wall, except that balconies and entries, porches and verandahs that
comply with Section 10 of this by-law and sections 4.2.2(f) and 4.2.2(g) of this schedule may be excluded
from the measurement of building depth.",16,16
4,4.4,External Design,,16,16
4.4,4.4.1,,"including entries, porches and verandahs.",16,16
4.4,4.4.2,,"(a) a window well for a basement or a cellar, if the lowered surface does not extend more than 1. 0 m from
the surface of a wall;
(b) a sunken entrance for a basement, if:
(i) the portion of the building abutting the lowered surface faces either the front street or the rear
property line,
(ii) the lowered surface does not extend more than 3. 1 m into the required front or rear yard,
measured from the street-facing wall and including stair runs or vertical change in grade
between the basement and the existing grade, and
(iii) the sum of the widths of all lowered surfaces abutting the building is not greater than half the
building width or 4.6 m, whichever is the lesser; or
(c) a sunken entrance for a cellar in buildings existing prior to June 23, 2020, if:
(i) it complies with section 4.4.2(b) above, and
(ii) the depth of the lowered surface does not exceed 1. 8 m below the average finished grade,
except that the Director of Planning may vary the requirements of this section 4.4.2 if, in the opinion of the
Director of Planning, the design meets the intent of the regulations for quality and durability of design and
architectural expression.",16,17
4.4,4.4.3,,"(a) 10% of the total floor area of the room, in each of the kitchen, living room and dining room; and
(b) 5% of the total floor area of the room, in all other rooms, except bathrooms and laundry rooms.",17,17
4.4,4.4.4,,,17,17
4.4,4.4.5,,"2 per dwelling unit must be provided in the form of
balconies, decks, roof decks, patios, or other outdoor spaces to the satisfaction of the Director of Planning.",17,17
